variant,genre_a,genre_b,pair,dataset_a,dataset_b,fmd
tok=TSD|model=CLaMP-2|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.6065787435524335
tok=TSD|model=CLaMP-2|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.5361931187675929
tok=TSD|model=CLaMP-2|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.5361931187675929
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.06275031284338793
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.06275031284338793
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.06380341218879212
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.06380341218879212
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.20008273586693823
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.20008273586693823
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.2514374704295582
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.2514374704295582
tok=Octuple|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.13470619305976342
tok=Octuple|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.13470619305976342
tok=Octuple|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.13230412807038142
tok=Octuple|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.13230412807038142
tok=Octuple|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.5164338396483438
tok=Octuple|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.5164338396483438
tok=Octuple|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.5179800222377633
tok=Octuple|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.5179800222377633
tok=REMI|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.06415415811399701
tok=REMI|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.06415415811399701
tok=REMI|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.06624266655836303
tok=REMI|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.06624266655836303
tok=REMI|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.3197916081164726
tok=REMI|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.3197916081164726
tok=REMI|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.33267131028218017
tok=REMI|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.33267131028218017
tok=TSD|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.06609446678751871
tok=TSD|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.06609446678751871
tok=TSD|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.06457168028582691
tok=TSD|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.06457168028582691
tok=TSD|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.451862234316804
tok=TSD|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.451862234316804
tok=TSD|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.3698874958681872
tok=TSD|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.3698874958681872
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.09053813069490739
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.09053813069490739
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.09574715202415067
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.09574715202415067
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.3057708188666976
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.3057708188666976
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.3151255144052131
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.3151255144052131
tok=Octuple|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.13634205528162446
tok=Octuple|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.13634205528162446
tok=Octuple|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.1338217259959679
tok=Octuple|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.1338217259959679
tok=Octuple|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.5624201583135916
tok=Octuple|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.5624201583135916
tok=Octuple|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.551160311676132
tok=Octuple|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.551160311676132
tok=REMI|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.06560883427659536
tok=REMI|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.06560883427659536
tok=REMI|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.06783280291894683
tok=REMI|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.06783280291894683
tok=REMI|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.29678703712195814
tok=REMI|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.29678703712195814
tok=REMI|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.3012762763441216
tok=REMI|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.3012762763441216
tok=TSD|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.058385543495002634
tok=TSD|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.058385543495002634
tok=TSD|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.05900515381780045
tok=TSD|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.05900515381780045
tok=TSD|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.6923911853957345
tok=TSD|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.6923911853957345
tok=TSD|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.6606487874978167
tok=TSD|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.6606487874978167
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.05238849204981773
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.05238849204981773
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.053188881872501516
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.053188881872501516
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.20774740117211105
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.20774740117211105
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.2338194621513662
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.2338194621513662
tok=Octuple|model=CLaMP-1|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.0988690226101794
tok=Octuple|model=CLaMP-1|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.0988690226101794
tok=Octuple|model=CLaMP-1|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.1033981913870507
tok=Octuple|model=CLaMP-1|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.1033981913870507
tok=Octuple|model=CLaMP-2|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.4188653748244391
tok=Octuple|model=CLaMP-2|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.4188653748244391
tok=Octuple|model=CLaMP-2|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.43314774351259916
tok=Octuple|model=CLaMP-2|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.43314774351259916
tok=REMI|model=CLaMP-1|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.04721460768015273
tok=REMI|model=CLaMP-1|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.04721460768015273
tok=REMI|model=CLaMP-1|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.056396334565927464
tok=REMI|model=CLaMP-1|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.056396334565927464
tok=REMI|model=CLaMP-2|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.23307174157799504
tok=REMI|model=CLaMP-2|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.23307174157799504
tok=REMI|model=CLaMP-2|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.23340837341558252
tok=REMI|model=CLaMP-2|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.23340837341558252
tok=TSD|model=CLaMP-1|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.049317420896213486
tok=TSD|model=CLaMP-1|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.049317420896213486
tok=TSD|model=CLaMP-1|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.05279132715100631
tok=TSD|model=CLaMP-1|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.05279132715100631
tok=TSD|model=CLaMP-2|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.2914822956458516
tok=TSD|model=CLaMP-2|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.2914822956458516
tok=TSD|model=CLaMP-2|vel=on|quant=off,classical,pop,classical vs pop,classical,pop,0.315531247517675
tok=TSD|model=CLaMP-2|vel=on|quant=on,classical,pop,classical vs pop,classical,pop,0.315531247517675
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.07822726539752012
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.07822726539752012
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.09413578807699922
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.09413578807699922
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.47100188283588557
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.47100188283588557
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.5026639914695074
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.5026639914695074
tok=Octuple|model=CLaMP-1|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.10099678687971848
tok=Octuple|model=CLaMP-1|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.10099678687971848
tok=Octuple|model=CLaMP-1|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.1029673740920488
tok=Octuple|model=CLaMP-1|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.1029673740920488
tok=Octuple|model=CLaMP-2|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.4701233656727581
tok=Octuple|model=CLaMP-2|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.4701233656727581
tok=Octuple|model=CLaMP-2|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.5032546307504305
tok=Octuple|model=CLaMP-2|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.5032546307504305
tok=REMI|model=CLaMP-1|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.07317790468411123
tok=REMI|model=CLaMP-1|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.07317790468411123
tok=REMI|model=CLaMP-1|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.09013860531143938
tok=REMI|model=CLaMP-1|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.09013860531143938
tok=REMI|model=CLaMP-2|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.39072431025534565
tok=REMI|model=CLaMP-2|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.39072431025534565
tok=REMI|model=CLaMP-2|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.4092091647436865
tok=REMI|model=CLaMP-2|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.4092091647436865
tok=TSD|model=CLaMP-1|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.11315715711862913
tok=TSD|model=CLaMP-1|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.11315715711862913
tok=TSD|model=CLaMP-1|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.10854965365280059
tok=TSD|model=CLaMP-1|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.10854965365280059
tok=TSD|model=CLaMP-2|vel=off|quant=off,classical,rap,classical vs rap,classical,rap,0.8194674014482588
tok=TSD|model=CLaMP-2|vel=off|quant=on,classical,rap,classical vs rap,classical,rap,0.8194674014482588
tok=TSD|model=CLaMP-2|vel=on|quant=off,classical,rap,classical vs rap,classical,rap,0.8039528369363305
tok=TSD|model=CLaMP-2|vel=on|quant=on,classical,rap,classical vs rap,classical,rap,0.8039528369363305
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.08628025079091778
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.08628025079091778
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.0956927627252795
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.0956927627252795
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.3918427649006593
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.3918427649006593
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.3882364939137356
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.3882364939137356
tok=Octuple|model=CLaMP-1|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.11983884964872049
tok=Octuple|model=CLaMP-1|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.11983884964872049
tok=Octuple|model=CLaMP-1|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.11316971610719959
tok=Octuple|model=CLaMP-1|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.11316971610719959
tok=Octuple|model=CLaMP-2|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.458323162904198
tok=Octuple|model=CLaMP-2|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.458323162904198
tok=Octuple|model=CLaMP-2|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.455034365774415
tok=Octuple|model=CLaMP-2|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.455034365774415
tok=REMI|model=CLaMP-1|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.06932880744119219
tok=REMI|model=CLaMP-1|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.06932880744119219
tok=REMI|model=CLaMP-1|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.07604996368039674
tok=REMI|model=CLaMP-1|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.07604996368039674
tok=REMI|model=CLaMP-2|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.31065166643312325
tok=REMI|model=CLaMP-2|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.31065166643312325
tok=REMI|model=CLaMP-2|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.3232418799500099
tok=REMI|model=CLaMP-2|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.3232418799500099
tok=TSD|model=CLaMP-1|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.09072830710052346
tok=TSD|model=CLaMP-1|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.09072830710052346
tok=TSD|model=CLaMP-1|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.08724647417865948
tok=TSD|model=CLaMP-1|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.08724647417865948
tok=TSD|model=CLaMP-2|vel=off|quant=off,rap,pop,rap vs pop,rap,pop,0.6995978549469536
tok=TSD|model=CLaMP-2|vel=off|quant=on,rap,pop,rap vs pop,rap,pop,0.6995978549469536
tok=TSD|model=CLaMP-2|vel=on|quant=off,rap,pop,rap vs pop,rap,pop,0.6491720961638997
tok=TSD|model=CLaMP-2|vel=on|quant=on,rap,pop,rap vs pop,rap,pop,0.6491720961638997
